Hour,Solar Power Output (kWh)
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,174.4
10,1908.633
11,3441.343
12,4405.894
13,3226.273
14,4680.596
15,4075.633
16,2887.585
17,476.729
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,15.173
34,21.201
35,1313.109
36,2181.428
37,894.139
38,257.912
39,1662.193
40,1257.947
41,331.842
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,2.293
58,0.0
59,477.598
60,470.612
61,757.81
62,797.938
63,1853.233
64,1490.251
65,204.126
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,121.431
83,730.354
84,1017.097
85,722.969
86,1069.504
87,678.684
88,309.053
89,186.867
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,3.278
106,287.016
107,724.691
108,999.9
109,1099.655
110,1206.866
111,1407.637
112,620.654
113,195.559
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,156.993
130,1869.058
131,3461.835
132,2715.004
133,4919.264
134,4849.359
135,4244.405
136,2799.105
137,1226.533
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,178.482
154,2012.724
155,1490.297
156,2218.522
157,5205.546
158,5139.784
159,4537.321
160,3342.482
161,1598.649
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,182.017
178,1390.843
179,2393.936
180,3175.757
181,3209.941
182,2516.46
183,1083.355
184,700.492
185,59.332
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,454.652
204,852.714
205,1238.177
206,2024.978
207,2055.907
208,940.188
209,1347.873
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,278.748
227,1233.817
228,4457.736
229,4969.567
230,4924.097
231,4381.512
232,3301.35
233,1640.146
234,0.0
235,0.0
236,0.0
237,0.0
