PVWatts V8: Hourly PV Performance Data

INPUTS:
lat,48
lon,-86.87
system_capacity,1
module_type,0
losses,10
array_type,1
tilt,20
azimuth,180
dataset,nsrdb
timeframe,hourly
email,malakaicrane@gmail.com

STATION INFO:
lat,48.0099983215332
lon,-86.86000061035156
elev,183.0
tz,-5.0
location,919501
city,""
state,Ontario
country,Canada
solar_resource_file,919501.csv
distance,1335
weather_data_source,NSRDB PSM V3 GOES tmy-2020 3.2.0

RESULTS
month,day,hour,AC system output (Wac),DC array output (Wdc),plane of array irradiance (W/m2),beam normal irradiance (W/m2),diffuse irradiance (W/m2),ambient temperature (C),module temperature (C),windspeed (m/s),albedo
Jan,1,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.4,0.87
Jan,1,1,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.3,0.87
Jan,1,2,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.9,0.87
Jan,1,3,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.9,0.87
Jan,1,4,0.0,0.0,0.0,0.0,0.0,4.0,4.0,7.1,0.87
Jan,1,5,0.0,0.0,0.0,0.0,0.0,4.0,4.0,7.7,0.87
Jan,1,6,0.0,0.0,0.0,0.0,0.0,3.0,3.0,8.8,0.87
Jan,1,7,0.0,0.0,0.0,0.0,0.0,2.0,2.0,9.8,0.87
Jan,1,8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.4,0.87
Jan,1,9,50.099,56.049,66.126,52.0,38.0,0.0,0.637,11.2,0.87
Jan,1,10,9.934,14.409,16.437,0.0,17.0,-2.0,-1.847,12.0,0.87
Jan,1,11,31.29,36.549,39.713,0.0,41.0,-4.0,-3.632,12.1,0.87
Jan,1,12,17.208,21.95,24.193,0.0,25.0,-5.0,-4.776,12.1,0.87
Jan,1,13,19.067,23.876,26.131,0.0,27.0,-6.0,-5.758,12.1,0.87
Jan,1,14,131.95,140.907,144.532,48.0,105.0,-7.0,-5.667,12.2,0.87
Jan,1,15,61.71,68.086,72.524,10.0,65.0,-7.0,-6.343,12.4,0.87
Jan,1,16,5.359,9.665,16.46,0.0,17.0,-6.0,-5.873,12.6,0.87
Jan,1,17,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,12.9,0.87
Jan,1,18,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,13.1,0.87
Jan,1,19,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,13.3,0.87
Jan,1,20,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,13.3,0.87
Jan,1,21,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,12.9,0.87
Jan,1,22,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,12.3,0.87
Jan,1,23,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,11.8,0.87
Jan,2,0,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,11.3,0.87
Jan,2,1,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,11.0,0.87
Jan,2,2,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,11.1,0.87
Jan,2,3,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,11.2,0.87
Jan,2,4,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,11.3,0.87
Jan,2,5,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,11.2,0.87
Jan,2,6,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,11.0,0.87
Jan,2,7,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,10.7,0.87
Jan,2,8,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,10.4,0.87
Jan,2,9,-0.0,3.787,4.827,0.0,5.0,-3.0,-2.949,10.1,0.87
Jan,2,10,125.196,133.904,140.268,85.0,82.0,-3.0,-1.476,9.9,0.87
Jan,2,11,221.052,233.282,239.482,172.0,116.0,-2.0,0.59,10.0,0.87
Jan,2,12,350.523,367.509,373.939,341.0,117.0,-2.0,1.988,10.2,0.87
Jan,2,13,348.154,365.053,371.214,347.0,114.0,-2.0,1.871,10.5,0.87
Jan,2,14,27.448,32.566,35.829,0.0,37.0,-2.0,-1.636,10.8,0.87
Jan,2,15,106.766,114.797,122.304,83.0,70.0,-2.0,-0.779,11.0,0.87
Jan,2,16,13.297,17.895,29.517,11.0,24.0,-2.0,-1.746,11.2,0.87
Jan,2,17,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,11.0,0.87
Jan,2,18,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,10.7,0.87
Jan,2,19,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,10.4,0.87
Jan,2,20,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,10.1,0.87
Jan,2,21,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,9.8,0.87
Jan,2,22,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,9.5,0.87
Jan,2,23,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,9.2,0.87
Jan,3,0,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,8.9,0.87
Jan,3,1,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,8.7,0.87
Jan,3,2,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,8.5,0.87
Jan,3,3,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,8.3,0.87
Jan,3,4,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,8.0,0.87
Jan,3,5,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,7.7,0.87
Jan,3,6,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,7.2,0.87
Jan,3,7,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,6.6,0.87
Jan,3,8,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,6.1,0.87
Jan,3,9,90.25,97.674,113.367,156.0,38.0,-3.0,-1.176,5.5,0.87
Jan,3,10,204.376,215.993,224.005,256.0,77.0,-3.0,0.941,5.0,0.87
Jan,3,11,283.994,298.536,305.799,290.0,107.0,-3.0,2.683,4.6,0.87
Jan,3,12,243.716,256.778,264.524,165.0,134.0,-3.0,1.975,4.5,0.87
Jan,3,13,239.794,252.712,260.396,164.0,132.0,-3.0,1.964,4.4,0.87
Jan,3,14,178.596,189.266,196.055,114.0,110.0,-3.0,0.787,4.3,0.87
Jan,3,15,40.739,46.344,50.819,0.0,51.0,-3.0,-1.997,4.1,0.87
Jan,3,16,4.901,9.19,14.514,0.0,15.0,-3.0,-2.738,4.0,0.87
Jan,3,17,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,3.9,0.87
Jan,3,18,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,3.9,0.87
