Hour,Solar Power Output (kWh)
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,512.898
11,122.255
12,370.777
13,206.896
14,228.514
15,1435.294
16,692.161
17,68.942
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,2.929
35,1293.567
36,2319.265
37,3622.537
38,3605.254
39,326.117
40,1088.572
41,149.531
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,859.378
59,1998.189
60,2917.835
61,2604.706
62,2559.896
63,1882.595
64,475.261
65,63.635
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,741.479
83,1839.933
84,545.479
85,3071.139
86,4012.993
87,2737.171
88,2029.646
89,469.831
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,396.862
107,1875.001
108,3569.884
109,4238.653
110,3181.594
111,3373.808
112,1453.346
113,240.04
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,193.244
131,597.098
132,915.701
133,1075.043
134,1051.886
135,2067.922
136,921.974
137,168.979
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,393.374
155,676.909
156,2306.519
157,2472.949
158,4430.801
159,2847.204
160,1198.717
161,255.218
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,440.883
179,1602.037
180,4083.146
181,4512.364
182,3103.821
183,1953.315
184,1799.199
185,495.289
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,244.466
203,1379.155
204,1932.262
205,1796.911
206,2750.377
207,1467.714
208,1309.977
209,1238.57
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,454.117
227,1289.498
228,2739.891
229,1765.067
230,4640.092
231,1104.955
232,374.273
233,87.325
234,0.0
235,0.0
236,0.0
237,0.0
