PVWatts V8: Hourly PV Performance Data

INPUTS:
lat,40.4259
lon,-86.9081
system_capacity,10
azimuth,180
tilt,20
losses,10
array_type,1
module_type,0
dc_ac_ratio,1.2
inv_eff,96.0
gcr,0.4
dataset,nsrdb
radius,0
soiling,"[12.0, 4.0, 45.0, 23.0, 9.0, 99.0, 67.0, 12.54, 54.0, 9.0, 0.0, 7.6]"
albedo,0.3
bifaciality,0.7
timeframe,hourly

STATION INFO:
lat,40.40999984741211
lon,-86.9000015258789
elev,176.64999389648438
tz,-5.0
location,918414
city,""
state,Indiana
country,United States
solar_resource_file,918414.csv
distance,1907
weather_data_source,NSRDB PSM V3 GOES tmy-2020 3.2.0

RESULTS
month,day,hour,AC system output (Wac),DC array output (Wdc),plane of array irradiance (W/m2),beam normal irradiance (W/m2),diffuse irradiance (W/m2),ambient temperature (C),module temperature (C),windspeed (m/s),albedo
Jan,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.14
Jan,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.14
Jan,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.14
Jan,1,3,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,3.0,0.14
Jan,1,4,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.9,0.14
Jan,1,5,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.7,0.14
Jan,1,6,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.6,0.14
Jan,1,7,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.6,0.14
Jan,1,8,367.021,421.595,80.374,297.0,16.0,0.0,1.466,3.1,0.14
Jan,1,9,2699.703,2839.97,304.331,667.0,43.0,1.0,7.46,3.5,0.14
Jan,1,10,4474.062,4679.511,488.714,800.0,58.0,3.0,13.647,3.3,0.14
Jan,1,11,5522.791,5766.766,615.224,866.0,65.0,5.0,19.047,3.0,0.14
Jan,1,12,4033.388,4222.649,453.762,400.0,165.0,7.0,17.653,2.8,0.14
Jan,1,13,5807.06,6061.478,661.177,876.0,71.0,8.0,24.473,2.5,0.14
Jan,1,14,5099.066,5327.475,576.795,828.0,69.0,7.0,23.159,1.9,0.14
Jan,1,15,3791.854,3972.242,422.193,716.0,63.0,5.0,17.663,1.6,0.14
Jan,1,16,749.003,817.61,91.954,91.0,58.0,3.0,5.553,1.9,0.14
Jan,1,17,-0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.3,0.14
Jan,1,18,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.7,0.14
Jan,1,19,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.4,0.14
Jan,1,20,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.9,0.14
Jan,1,21,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.1,0.14
Jan,1,22,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.3,0.14
Jan,1,23,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.6,0.14
Jan,2,0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.7,0.14
Jan,2,1,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.4,0.14
Jan,2,2,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.2,0.14
Jan,2,3,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.8,0.14
Jan,2,4,0.0,0.0,0.0,0.0,0.0,6.0,6.0,5.6,0.14
Jan,2,5,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.1,0.14
Jan,2,6,0.0,0.0,0.0,0.0,0.0,7.0,7.0,6.3,0.14
Jan,2,7,0.0,0.0,0.0,0.0,0.0,7.0,7.0,6.4,0.14
Jan,2,8,20.739,62.593,11.414,0.0,13.0,7.0,7.135,6.7,0.14
Jan,2,9,-0.0,20.326,2.626,0.0,3.0,8.0,8.035,7.1,0.14
Jan,2,10,1142.716,1225.786,133.753,26.0,122.0,10.0,11.676,7.7,0.14
Jan,2,11,775.816,845.408,94.536,0.0,105.0,12.0,13.085,8.6,0.14
Jan,2,12,181.594,229.357,27.231,0.0,31.0,14.0,14.299,9.1,0.14
Jan,2,13,13.933,55.536,7.019,0.0,8.0,14.0,14.078,9.0,0.14
Jan,2,14,1809.698,1917.271,209.855,80.0,163.0,14.0,16.43,8.6,0.14
Jan,2,15,1508.926,1605.449,175.043,108.0,117.0,13.0,15.091,8.3,0.14
Jan,2,16,505.74,565.41,65.777,31.0,56.0,12.0,12.832,7.6,0.14
Jan,2,17,-0.0,0.0,0.0,0.0,0.0,11.0,0.0,6.5,0.14
Jan,2,18,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5.0,0.14
Jan,2,19,0.0,0.0,0.0,0.0,0.0,7.0,7.0,3.7,0.14
Jan,2,20,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.8,0.14
Jan,2,21,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.1,0.14
Jan,2,22,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.7,0.14
Jan,2,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.14
