PVWatts V8: Hourly PV Performance Data

INPUTS:
lat,40.4259
lon,-86.9081
system_capacity,10
azimuth,180
tilt,20
losses,10
array_type,1
module_type,0
dataset,nsrdb
timeframe,hourly

STATION INFO:
lat,40.40999984741211
lon,-86.9000015258789
elev,176.64999389648438
tz,-5.0
location,918414
city,""
state,Indiana
country,United States
solar_resource_file,918414.csv
distance,1907
weather_data_source,NSRDB PSM V3 GOES tmy-2020 3.2.0

RESULTS
month,day,hour,AC system output (Wac),DC array output (Wdc),plane of array irradiance (W/m2),beam normal irradiance (W/m2),diffuse irradiance (W/m2),ambient temperature (C),module temperature (C),windspeed (m/s),albedo
Jan,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.14
Jan,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.14
Jan,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.14
Jan,1,3,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,3.0,0.14
Jan,1,4,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.9,0.14
Jan,1,5,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.7,0.14
Jan,1,6,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.6,0.14
Jan,1,7,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.6,0.14
Jan,1,8,417.932,474.377,90.308,297.0,16.0,0.0,1.666,3.1,0.14
Jan,1,9,3015.895,3167.778,339.967,667.0,43.0,1.0,8.34,3.5,0.14
Jan,1,10,4898.311,5119.345,537.115,800.0,58.0,3.0,15.099,3.3,0.14
Jan,1,11,6020.808,6283.078,675.093,866.0,65.0,5.0,20.962,3.0,0.14
Jan,1,12,4392.16,4594.601,496.076,400.0,165.0,7.0,19.106,2.8,0.14
Jan,1,13,6319.976,6593.236,725.496,876.0,71.0,8.0,26.72,2.5,0.14
Jan,1,14,5551.769,5796.808,632.688,828.0,69.0,7.0,25.362,1.9,0.14
Jan,1,15,4157.572,4351.395,464.921,716.0,63.0,5.0,19.39,1.6,0.14
Jan,1,16,831.966,903.62,101.529,91.0,58.0,3.0,5.901,1.9,0.14
Jan,1,17,-0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.3,0.14
Jan,1,18,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.7,0.14
Jan,1,19,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.4,0.14
Jan,1,20,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.9,0.14
Jan,1,21,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.1,0.14
Jan,1,22,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.3,0.14
Jan,1,23,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.6,0.14
Jan,2,0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.7,0.14
Jan,2,1,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.4,0.14
Jan,2,2,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.2,0.14
Jan,2,3,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.8,0.14
Jan,2,4,0.0,0.0,0.0,0.0,0.0,6.0,6.0,5.6,0.14
Jan,2,5,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.1,0.14
Jan,2,6,0.0,0.0,0.0,0.0,0.0,7.0,7.0,6.3,0.14
Jan,2,7,0.0,0.0,0.0,0.0,0.0,7.0,7.0,6.4,0.14
Jan,2,8,25.548,67.578,12.3,0.0,13.0,7.0,7.154,6.7,0.14
Jan,2,9,-0.0,21.961,2.831,0.0,3.0,8.0,8.039,7.1,0.14
Jan,2,10,1242.207,1328.932,144.918,26.0,122.0,10.0,11.904,7.7,0.14
Jan,2,11,840.426,912.392,101.948,0.0,105.0,12.0,13.233,8.6,0.14
Jan,2,12,199.153,247.56,29.344,0.0,31.0,14.0,14.34,9.1,0.14
Jan,2,13,18.22,59.981,7.565,0.0,8.0,14.0,14.088,9.0,0.14
Jan,2,14,1968.682,2082.095,227.859,80.0,163.0,14.0,16.762,8.6,0.14
Jan,2,15,1648.697,1750.354,190.695,108.0,117.0,13.0,15.376,8.3,0.14
Jan,2,16,557.808,619.391,71.929,31.0,56.0,12.0,12.946,7.6,0.14
Jan,2,17,-0.0,0.0,0.0,0.0,0.0,11.0,0.0,6.5,0.14
Jan,2,18,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5.0,0.14
Jan,2,19,0.0,0.0,0.0,0.0,0.0,7.0,7.0,3.7,0.14
Jan,2,20,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.8,0.14
Jan,2,21,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.1,0.14
Jan,2,22,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.7,0.14
Jan,2,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.14
Jan,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.14
Jan,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.14
