month,day,hour,solar_irradiance,power_raw,power_output
Jan,1,0,0.0,0.0,0.0
Jan,1,1,0.0,0.0,0.0
Jan,1,2,0.0,0.0,0.0
Jan,1,3,0.0,0.0,0.0
Jan,1,4,0.0,0.0,0.0
Jan,1,5,0.0,0.0,0.0
Jan,1,6,0.0,0.0,0.0
Jan,1,7,0.0,0.0,0.0
Jan,1,8,0.0,0.0,0.0
Jan,1,9,66.126,2.116032,2.116032
Jan,1,10,16.437,0.525984,0.525984
Jan,1,11,39.713,1.270816,1.270816
Jan,1,12,24.193,0.7741760000000001,0.7741760000000001
Jan,1,13,26.131,0.836192,0.836192
Jan,1,14,144.532,4.625024000000002,4.625024000000002
Jan,1,15,72.524,2.320768,2.320768
Jan,1,16,16.46,0.5267200000000001,0.5267200000000001
Jan,1,17,0.0,0.0,0.0
Jan,1,18,0.0,0.0,0.0
Jan,1,19,0.0,0.0,0.0
Jan,1,20,0.0,0.0,0.0
Jan,1,21,0.0,0.0,0.0
Jan,1,22,0.0,0.0,0.0
Jan,1,23,0.0,0.0,0.0
Jan,2,0,0.0,0.0,0.0
Jan,2,1,0.0,0.0,0.0
Jan,2,2,0.0,0.0,0.0
Jan,2,3,0.0,0.0,0.0
Jan,2,4,0.0,0.0,0.0
Jan,2,5,0.0,0.0,0.0
Jan,2,6,0.0,0.0,0.0
Jan,2,7,0.0,0.0,0.0
Jan,2,8,0.0,0.0,0.0
Jan,2,9,4.827,0.154464,0.154464
Jan,2,10,140.268,4.488576000000001,4.488576000000001
Jan,2,11,239.482,7.663424,7.663424
Jan,2,12,373.939,11.966048,11.966048
Jan,2,13,371.214,11.878848,11.878848
Jan,2,14,35.829,1.1465280000000002,1.1465280000000002
Jan,2,15,122.304,3.9137280000000003,3.9137280000000003
Jan,2,16,29.517,0.944544,0.944544
Jan,2,17,0.0,0.0,0.0
Jan,2,18,0.0,0.0,0.0
Jan,2,19,0.0,0.0,0.0
Jan,2,20,0.0,0.0,0.0
Jan,2,21,0.0,0.0,0.0
Jan,2,22,0.0,0.0,0.0
Jan,2,23,0.0,0.0,0.0
Jan,3,0,0.0,0.0,0.0
Jan,3,1,0.0,0.0,0.0
Jan,3,2,0.0,0.0,0.0
Jan,3,3,0.0,0.0,0.0
Jan,3,4,0.0,0.0,0.0
Jan,3,5,0.0,0.0,0.0
Jan,3,6,0.0,0.0,0.0
Jan,3,7,0.0,0.0,0.0
Jan,3,8,0.0,0.0,0.0
Jan,3,9,113.367,3.6277440000000003,3.6277440000000003
Jan,3,10,224.005,7.168159999999999,7.168159999999999
Jan,3,11,305.799,9.785568,9.785568
Jan,3,12,264.524,8.464768,8.464768
Jan,3,13,260.396,8.332672,8.332672
Jan,3,14,196.055,6.273760000000001,6.273760000000001
Jan,3,15,50.819,1.6262080000000003,1.6262080000000003
Jan,3,16,14.514,0.46444799999999997,0.46444799999999997
Jan,3,17,0.0,0.0,0.0
Jan,3,18,0.0,0.0,0.0
Jan,3,19,0.0,0.0,0.0
Jan,3,20,0.0,0.0,0.0
Jan,3,21,0.0,0.0,0.0
Jan,3,22,0.0,0.0,0.0
Jan,3,23,0.0,0.0,0.0
Jan,4,0,0.0,0.0,0.0
Jan,4,1,0.0,0.0,0.0
Jan,4,2,0.0,0.0,0.0
Jan,4,3,0.0,0.0,0.0
Jan,4,4,0.0,0.0,0.0
Jan,4,5,0.0,0.0,0.0
Jan,4,6,0.0,0.0,0.0
Jan,4,7,0.0,0.0,0.0
Jan,4,8,0.0,0.0,0.0
Jan,4,9,96.865,3.09968,3.09968
Jan,4,10,204.442,6.542144,6.542144
Jan,4,11,56.239,1.799648,1.799648
Jan,4,12,313.457,10.030624,10.030624
Jan,4,13,416.88,13.34016,13.34016
Jan,4,14,288.046,9.217471999999999,9.217471999999999
Jan,4,15,237.129,7.588128,7.588128
Jan,4,16,81.019,2.5926080000000002,2.5926080000000002
Jan,4,17,0.0,0.0,0.0
Jan,4,18,0.0,0.0,0.0
Jan,4,19,0.0,0.0,0.0
Jan,4,20,0.0,0.0,0.0
Jan,4,21,0.0,0.0,0.0
Jan,4,22,0.0,0.0,0.0
Jan,4,23,0.0,0.0,0.0
Jan,5,0,0.0,0.0,0.0
Jan,5,1,0.0,0.0,0.0
Jan,5,2,0.0,0.0,0.0
Jan,5,3,0.0,0.0,0.0
Jan,5,4,0.0,0.0,0.0
Jan,5,5,0.0,0.0,0.0
Jan,5,6,0.0,0.0,0.0
Jan,5,7,0.0,0.0,0.0
Jan,5,8,0.0,0.0,0.0
Jan,5,9,49.296,1.5774720000000002,1.5774720000000002
Jan,5,10,209.896,6.716672,6.716672
Jan,5,11,379.081,12.130592,12.130592
Jan,5,12,439.257,14.056224000000002,14.056224000000002
