Hour,Series,Parallel,Total Capacity (kWh),Effective Capacity (kWh),Effective Load (kW),Length of Discharge (hours),Total Cost ($)
0,1,1,0.37,0.333,0.0,inf,55.5
1,1,1,0.37,0.333,1.9438815668528129,0.17130673271372923,55.5
2,1,1,0.37,0.333,5.062671819539148,0.06577554537799625,55.5
3,1,1,0.37,0.333,0.0,inf,55.5
4,1,1,0.37,0.333,0.0,inf,55.5
5,1,1,0.37,0.333,0.0,inf,55.5
6,1,1,0.37,0.333,0.0,inf,55.5
7,1,1,0.37,0.333,4.435640284987604,0.07507371621793506,55.5
8,1,1,0.37,0.333,2.5555782580045996,0.13030319026896364,55.5
9,1,1,0.37,0.333,2.6984695815201416,0.12340328098581328,55.5
10,1,1,0.37,0.333,0.0,inf,55.5
11,1,1,0.37,0.333,4.521797588762503,0.07364327868800809,55.5
12,1,1,0.37,0.333,0.0,inf,55.5
13,1,1,0.37,0.333,0.0,inf,55.5
14,1,1,0.37,0.333,3.4409289115156465,0.09677619287209323,55.5
15,1,1,0.37,0.333,0.0,inf,55.5
16,1,1,0.37,0.333,0.0,inf,55.5
17,1,1,0.37,0.333,5.71595485232165,0.05825798289235007,55.5
18,1,1,0.37,0.333,3.9256390768376175,0.08482695262659126,55.5
19,1,1,0.37,0.333,0.0,inf,55.5
20,1,1,0.37,0.333,4.4017606040566335,0.07565154717707942,55.5
21,1,1,0.37,0.333,0.0,inf,55.5
22,1,1,0.37,0.333,0.0,inf,55.5
23,1,1,0.37,0.333,0.28544065307764477,1.1666172859736916,55.5
0,1,2,0.74,0.666,0.0,inf,111.0
1,1,2,0.74,0.666,1.9438815668528129,0.34261346542745846,111.0
2,1,2,0.74,0.666,5.062671819539148,0.1315510907559925,111.0
3,1,2,0.74,0.666,0.0,inf,111.0
4,1,2,0.74,0.666,0.0,inf,111.0
5,1,2,0.74,0.666,0.0,inf,111.0
6,1,2,0.74,0.666,0.0,inf,111.0
7,1,2,0.74,0.666,4.435640284987604,0.15014743243587012,111.0
8,1,2,0.74,0.666,2.5555782580045996,0.2606063805379273,111.0
9,1,2,0.74,0.666,2.6984695815201416,0.24680656197162656,111.0
10,1,2,0.74,0.666,0.0,inf,111.0
11,1,2,0.74,0.666,4.521797588762503,0.14728655737601618,111.0
12,1,2,0.74,0.666,0.0,inf,111.0
13,1,2,0.74,0.666,0.0,inf,111.0
14,1,2,0.74,0.666,3.4409289115156465,0.19355238574418646,111.0
15,1,2,0.74,0.666,0.0,inf,111.0
16,1,2,0.74,0.666,0.0,inf,111.0
17,1,2,0.74,0.666,5.71595485232165,0.11651596578470014,111.0
18,1,2,0.74,0.666,3.9256390768376175,0.16965390525318252,111.0
19,1,2,0.74,0.666,0.0,inf,111.0
20,1,2,0.74,0.666,4.4017606040566335,0.15130309435415884,111.0
21,1,2,0.74,0.666,0.0,inf,111.0
22,1,2,0.74,0.666,0.0,inf,111.0
23,1,2,0.74,0.666,0.28544065307764477,2.3332345719473833,111.0
0,1,3,1.11,0.9990000000000001,0.0,inf,166.50000000000003
1,1,3,1.11,0.9990000000000001,1.9438815668528129,0.5139201981411877,166.50000000000003
2,1,3,1.11,0.9990000000000001,5.062671819539148,0.19732663613398874,166.50000000000003
3,1,3,1.11,0.9990000000000001,0.0,inf,166.50000000000003
4,1,3,1.11,0.9990000000000001,0.0,inf,166.50000000000003
5,1,3,1.11,0.9990000000000001,0.0,inf,166.50000000000003
6,1,3,1.11,0.9990000000000001,0.0,inf,166.50000000000003
7,1,3,1.11,0.9990000000000001,4.435640284987604,0.2252211486538052,166.50000000000003
8,1,3,1.11,0.9990000000000001,2.5555782580045996,0.390909570806891,166.50000000000003
9,1,3,1.11,0.9990000000000001,2.6984695815201416,0.37020984295743986,166.50000000000003
10,1,3,1.11,0.9990000000000001,0.0,inf,166.50000000000003
