Month,Day,Hour,Solar Energy (kWh),Wind Energy (kWh),Grid Energy (kWh),Total Cost ($)
1.0,1.0,0.0,0.0,100.0,0.0,5200.0
1.0,1.0,1.0,0.0,100.0,0.0,5200.0
1.0,1.0,2.0,0.0,100.0,0.0,5200.0
1.0,1.0,3.0,0.0,100.0,0.0,5200.0
1.0,1.0,4.0,0.0,100.0,0.0,5200.0
1.0,1.0,5.0,0.0,100.0,0.0,5200.0
1.0,1.0,6.0,0.0,100.0,0.0,5200.0
1.0,1.0,7.0,0.0,100.0,0.0,5200.0
1.0,1.0,8.0,100.0,0.0,0.0,5000.0
1.0,1.0,9.0,100.0,0.0,0.0,5000.0
1.0,1.0,10.0,100.0,0.0,0.0,5000.0
1.0,1.0,11.0,100.0,0.0,0.0,5000.0
1.0,1.0,12.0,100.0,0.0,0.0,5000.0
1.0,1.0,13.0,100.0,0.0,0.0,5000.0
1.0,1.0,14.0,100.0,0.0,0.0,5000.0
1.0,1.0,15.0,100.0,0.0,0.0,5000.0
1.0,1.0,16.0,100.0,0.0,0.0,5000.0
1.0,1.0,17.0,0.0,100.0,0.0,5200.0
1.0,1.0,18.0,0.0,47.37282426226096,52.62717573773904,5357.881527213218
1.0,1.0,19.0,0.0,100.0,0.0,5200.0
1.0,1.0,20.0,0.0,100.0,0.0,5200.0
1.0,1.0,21.0,0.0,100.0,0.0,5200.0
1.0,1.0,22.0,0.0,100.0,0.0,5200.0
1.0,1.0,23.0,0.0,100.0,0.0,5200.0
1.0,2.0,0.0,0.0,100.0,0.0,5200.0
1.0,2.0,1.0,0.0,100.0,0.0,5200.0
1.0,2.0,2.0,0.0,5.92160303278262,94.07839696721737,5482.235190901652
1.0,2.0,3.0,0.0,100.0,0.0,5200.0
1.0,2.0,4.0,0.0,100.0,0.0,5200.0
1.0,2.0,5.0,0.0,100.0,0.0,5200.0
1.0,2.0,6.0,0.0,100.0,0.0,5200.0
1.0,2.0,7.0,0.0,100.0,0.0,5200.0
1.0,2.0,8.0,20.993,79.007,0.0,5158.014
1.0,2.0,9.0,27.376,72.624,0.0,5145.248
1.0,2.0,10.0,100.0,0.0,0.0,5000.0
1.0,2.0,11.0,100.0,0.0,0.0,5000.0
1.0,2.0,12.0,100.0,0.0,0.0,5000.0
1.0,2.0,13.0,100.0,0.0,0.0,5000.0
1.0,2.0,14.0,100.0,0.0,0.0,5000.0
1.0,2.0,15.0,100.0,0.0,0.0,5000.0
1.0,2.0,16.0,100.0,0.0,0.0,5000.0
1.0,2.0,17.0,0.0,100.0,0.0,5200.0
1.0,2.0,18.0,0.0,100.0,0.0,5200.0
1.0,2.0,19.0,0.0,100.0,0.0,5200.0
1.0,2.0,20.0,0.0,100.0,0.0,5200.0
1.0,2.0,21.0,0.0,100.0,0.0,5200.0
1.0,2.0,22.0,0.0,100.0,0.0,5200.0
1.0,2.0,23.0,0.0,100.0,0.0,5200.0
1.0,3.0,0.0,0.0,100.0,0.0,5200.0
1.0,3.0,1.0,0.0,100.0,0.0,5200.0
